uri,manual_label,False Negative
Person,"Marlene Dumas->""Marlene Dumas""",Yes
Person,"Sonia Delaunay->""Sonia Delaunay""",No
Person,"Matisse->""Matisse""",Yes
Person,"Malevich->""Malevich""",Yes
Person,"Delaunay->""Sonia Delaunay""",No
Person,"Sonia Delaunay->""Sonia Delaunay""",No
Person,"Delaunay->""Sonia Delaunay""",No
Person,"her->""Sonia Delaunay""",No
Person,"her->""prostitute""",Yes
Person,"Gauguin->""Gauguin""",Yes
Person,"Her->""prostitute""",Yes
Person,"Sonia->""Sonia Delaunay""",No
Person,"Robert Delaunay->""Robert Delaunay""",No
Person,"she->""Sonia Delaunay""",No
Person,"him->""Robert Delaunay""",No
Person,"She->""Sonia Delaunay""",No
Person,"she->""Sonia Delaunay""",No
Person,"her->""Sonia Delaunay""",No
Person,"Charles->""Charles""",No
Person,"Picasso->""Picasso""",Yes
Person,"Braque->""Braque""",Yes
Person,"Delaunay->""Sonia Delaunay""",No
Person,"her->""Sonia Delaunay""",No
Person,"her->""Sonia Delaunay""",No
Person,"husband->""Robert Delaunay""",Yes
Person,"she->""Sonia Delaunay""",No
Person,"she->""Sonia Delaunay""",No
Person,"her->""Sonia Delaunay""",No
Person,"Robert->""Robert Delaunay""",No
Person,"his->""Robert Delaunay""",No
Person,"she->""Sonia Delaunay""",No
Person,"Delaunay->""Sonia Delaunay""",No
Person,"her->""Sonia Delaunay""",No
Person,"Diaghilev->""Diaghilev""",Yes
Person,"She->""Sonia Delaunay""",No
Person,"her->""Sonia Delaunay""",No
Person,"Delaunay->""Sonia Delaunay""",No
Person,"She->""Sonia Delaunay""",No
Person,"she->""Sonia Delaunay""",No
Person,"She->""Sonia Delaunay""",No
Person,"Robert->""Robert Delaunay""",No
Person,"her->""Sonia Delaunay""",No
Person,"Gloria Swanson->""Gloria Swanson""",No
Person,"Nancy Cunard->""Nancy Cunard""",No
Person,"Delaunay->""Sonia Delaunay""",No
Person,"her->""Sonia Delaunay""",No
Person,"Robert->""Robert Delaunay""",No
Person,"Sonia->""Sonia Delaunay""",No
Person,"her->""Sonia Delaunay""",No
Person,"Robert->""Robert Delaunay""",No
Person,"she->""Sonia Delaunay""",No
Person,"She->""Sonia Delaunay""",No
Person,"Robert->""Robert Delaunay""",No
Person,"Sonia->""Sonia Delaunay""",No
Person,"Her->""Sonia Delaunay""",No
Person,"her->""Sonia Delaunay""",No
Person,"she->""Sonia Delaunay""",No
Person,"Delaunay->""Sonia Delaunay""",No
Person,"She->""Sonia Delaunay""",No
Person,"her->""Sonia Delaunay""",No
Person,"she->""Sonia Delaunay""",No
Person,"Picasso->""Picasso""",Yes
Person,"his->""Picasso""",Yes
Person,"Delaunay->""Sonia Delaunay""",No
Person,"her->""Sonia Delaunay""",No
Person,"Klee->""Klee""",Yes
Person,"Kandinsky->""Kandinsky""",Yes
Person,"she->""Sonia Delaunay""",No
Person,"she->""Sonia Delaunay""",No
Person,"Delaunay->""Sonia Delaunay""",No
City,"Odessa->""Odessa""",No
City,"St Petersburg->""St Petersburg""",No
City,"Paris->""Paris""",No
City,"Paris->""Paris""",No
City,"Paris->""Paris""",No
City,"Paris->""Paris""",No
City,"Amsterdam->""Amsterdam""",Yes
Organization,"Tate->""Tate""",Yes
Organization,"Tate Modern->""Tate Modern""",Yes
Organization,"Tate Modern->""Tate Modern""",Yes
Organization,"Tate->""Tate""",Yes
Organization,"Tate->""Tate""",Yes
Generic,"artists have->""artists""",Yes
Generic,"Delaunay get on->""Sonia Delaunay""",No
Generic,"who was Sonia Delaunay->""Sonia Delaunay""",Yes
Generic,"Delaunay had a privileged youth->""Sonia Delaunay""",No
Generic,"prostitute detached from her boudoir backdrop->""prostitute""",Yes
Generic,"Her bleached yellow skin->""prostitute""",Yes
Generic,"she rejected painting->""Sonia Delaunay""",No
Generic,"She didnäó»t give up art->""Sonia Delaunay""",No
Generic,"she made for her infant son->""Sonia Delaunay""",Yes
Generic,"It also saw Delaunay->""Sonia Delaunay""",No
Generic,"she developed a theory->""Sonia Delaunay""",No
Generic,"she always played down her own work->""Sonia Delaunay""",No
Generic,"She claimed her deep affinity for colour, moreover, stemmed from the äóìpure coloursäó of peasant weddings back in Ukraine.->""Sonia Delaunay""",No
Generic,"She embraced fashion->""Sonia Delaunay""",No
Generic,"she designed in patchwork colours->""Sonia Delaunay""",No
Generic,"Sheäó»d often wear->""Sonia Delaunay""",No
Generic,"Robert put it->""Robert Delaunay""",No
Generic,"Metz & Co seized on her fashion designs->""Metz & Co""",Yes
Generic,"Delaunay bridged->""Sonia Delaunay""",No
Generic,"her move into design->""Sonia Delaunay""",Yes
Generic,"bankrolling her and Robert->""Sonia Delaunay, Robert Delaunay""",Yes
Generic,"she needed an alternative means of funding->""Sonia Delaunay""",No
Generic,"She didnäó»t completely give up painting->""Sonia Delaunay""",Yes
Generic,"Robert died of cancer->""Robert Delaunay""",No
Generic,"Sonia returned to painting->""Sonia Delaunay""",Yes
Generic,"Her palette grew->""Sonia Delaunay""",Yes
Generic,"she worked->""Sonia Delaunay""",No
Generic,"the times Delaunay lived through->""Sonia Delaunay""",No
Generic,"She spent the Second World War->""Sonia Delaunay""",No
Generic,"sheäó»d shown->""Sonia Delaunay""",Yes
Generic,"Delaunay was celebrating->""Sonia Delaunay""",Yes
Generic,"she was a perpetual outsider->""Sonia Delaunay""",No
Generic,"she decorated in the late Sixties->""Sonia Delaunay""",No
